Macro time on ka.upc.edu: 12/05/2013 22:20:40; Problema ID: 1252; Temps total: 2.4294829368591;
Macro time on ka.upc.edu: 12/05/2013 22:20:54; Problema ID: 1252; Temps total: 1.8339200019836;
Macro time on ka.upc.edu: 12/05/2013 22:21:14; Problema ID: 1255; Temps total: 4.801078081131;
Macro time on ka.upc.edu: 12/05/2013 22:23:49; Problema ID: 1255; Temps total: 2.6015930175781;
Macro time on ka.upc.edu: 12/05/2013 22:25:11; Problema ID: 1255; Temps total: 3.5637679100037;
Macro time on ka.upc.edu: 12/05/2013 22:25:14; Problema ID: 1255; Temps total: 2.4568679332733;
Macro time on ka.upc.edu: 12/05/2013 22:26:00; Problema ID: 1262; Temps total: 2.8045310974121;
Macro time on ka.upc.edu: 12/05/2013 22:28:02; Problema ID: 1255; Temps total: 2.7019770145416;
Macro time on ka.upc.edu: 12/05/2013 22:28:33; Problema ID: 1255; Temps total: 2.4032120704651;
Macro time on ka.upc.edu: 12/05/2013 22:29:25; Problema ID: 1198; Temps total: 5.2583649158478;
Macro time on ka.upc.edu: 12/05/2013 22:29:26; Problema ID: 1262; Temps total: 6.4230151176453;
Macro time on ka.upc.edu: 12/05/2013 22:31:03; Problema ID: 1255; Temps total: 2.9164340496063;
Macro time on ka.upc.edu: 12/05/2013 22:32:01; Problema ID: 1262; Temps total: 2.8255858421326;
Macro time on ka.upc.edu: 12/05/2013 22:34:04; Problema ID: 1262; Temps total: 2.5214560031891;
Macro time on ka.upc.edu: 12/05/2013 22:34:41; Problema ID: 1198; Temps total: 3.6067309379578;
Macro time on ka.upc.edu: 12/05/2013 22:36:25; Problema ID: 1262; Temps total: 5.0122361183167;
Macro time on ka.upc.edu: 12/05/2013 22:40:43; Problema ID: 1262; Temps total: 2.2532758712769;
Macro time on ka.upc.edu: 12/05/2013 22:41:50; Problema ID: 1198; Temps total: 5.4839301109314;
Macro time on ka.upc.edu: 12/05/2013 22:44:59; Problema ID: 1262; Temps total: 2.474650144577;
Macro time on ka.upc.edu: 12/05/2013 22:48:01; Problema ID: 1252; Temps total: 3.2671349048615;
Macro time on ka.upc.edu: 12/05/2013 22:48:16; Problema ID: 1252; Temps total: 2.3863010406494;
Macro time on ka.upc.edu: 12/05/2013 22:49:49; Problema ID: 1262; Temps total: 2.2467839717865;
Macro time on ka.upc.edu: 12/05/2013 22:50:41; Problema ID: 1262; Temps total: 2.5343668460846;
Macro time on ka.upc.edu: 12/05/2013 22:51:39; Problema ID: 1262; Temps total: 1.9132208824158;
Macro time on ka.upc.edu: 12/05/2013 22:56:33; Problema ID: 1198; Temps total: 4.4838948249817;
Macro time on ka.upc.edu: 12/05/2013 22:58:00; Problema ID: 1255; Temps total: 4.5001668930054;
Macro time on ka.upc.edu: 12/05/2013 22:58:12; Problema ID: 1198; Temps total: 2.9020028114319;
Macro time on ka.upc.edu: 12/05/2013 23:02:30; Problema ID: 1198; Temps total: 3.9764029979706;
Macro time on ka.upc.edu: 12/05/2013 23:04:26; Problema ID: 1255; Temps total: 2.2006130218506;
Macro time on ka.upc.edu: 12/05/2013 23:06:16; Problema ID: 1198; Temps total: 3.099869966507;
Macro time on ka.upc.edu: 12/05/2013 23:10:48; Problema ID: 1198; Temps total: 3.1932289600372;
Macro time on ka.upc.edu: 12/05/2013 23:12:42; Problema ID: 1255; Temps total: 2.7023980617523;
Macro time on ka.upc.edu: 12/05/2013 23:13:51; Problema ID: 1198; Temps total: 2.8502480983734;
Macro time on ka.upc.edu: 12/05/2013 23:14:33; Problema ID: 1255; Temps total: 2.7410039901733;
Macro time on ka.upc.edu: 12/05/2013 23:14:55; Problema ID: 1198; Temps total: 3.3980679512024;
Macro time on ka.upc.edu: 12/05/2013 23:16:11; Problema ID: 1255; Temps total: 2.5428009033203;
Macro time on ka.upc.edu: 12/05/2013 23:17:13; Problema ID: 1255; Temps total: 2.7032749652863;
Macro time on ka.upc.edu: 12/05/2013 23:21:42; Problema ID: 1255; Temps total: 7.9950621128082;
Macro time on ka.upc.edu: 12/05/2013 23:21:43; Problema ID: 1262; Temps total: 8.2586059570312;
